es_id,cluster,row_id,report_group,study,outcome_subject,grade_band,g,v,se,n_t,n_c,n_clusters,icc_assumed,cluster_adjusted,pretest_adjusted,test_type,test_name,include,exclude_reason,extraction_method,source_stat,page_ref,extractor,confidence,notes
abe_2012-01,abe_2012,1,abe_2012,Abe et al. 2012,Reading,5 (within 3-6 registry band; TPD targeted grades 4-5),0.2439,0.01016,0.1008,1566,1486,45,,True,True,standardized_independent,Stanford Achievement Test 10th ed. (SAT-10) Reading Comprehension scale score (Hawai'i: TerraNova converted to SAT-10-equivalent),1,,"Paper-reported standardized impact d = impact/SD_control = 5.3/21.721 = 0.244 (control-group SD standardizer), from two-level HLM, pretest/covariate-adjusted. g = J*d with J = 1-3/(4*df-1), df = N-2 = 3050, J = 0.99975. SE(d) = SE(impact)/SD_control = 2.19/21.721 = 0.1008; g_se = J*SE(d) = 0.1008; g_var = g_se^2 = 0.01016. Cross-check t = impact/SE = 2.42, matching reported p = .017.",5.3,"p. xv-xvii (Exec. Summary); Table B.5 'Estimate of overall impact: weighted mean of three entity estimates (benchmark model)', p. B11 (PDF p.117); sample sizes p. xiv-xv (PDF p.15) and Figure 2.2 (PDF p.44); school counts p.34-36 (PDF p.35-36)",subagent,high,"Headline confirmatory full-sample student outcome. Overall impact = weighted mean of three entity-specific HLM estimates. Entity subsamples (NOT extracted as separate full-sample rows; they are subgroups): American Samoa ES = -0.146 (n=185, p=.629), CNMI ES = 0.392 (n=692, p=.027), Hawai'i ES = 0.133 (n=2,175, p=.050). A 'combined sample' pooled estimate (entity fixed effects) gave ES = 0.068 (n=3,052, p=.247, NS) and is reported by the authors as method-sensitive; the authors adopt the weighted-mean estimate (0.244) as the primary result. A priori MDES for student outcomes was 0.16. Comparison/control = business-as-usual."
allen_2015-01,allen_2015,2,allen_2015,Allen et al. 2015,Other,"6-12 (mixed: 11% middle school, 89% high school)",0.48,0.0311,0.176,659,536,86,,True,True,standardized_independent,"Virginia Standards of Learning (SOL) end-of-course standardized state achievement test, pooled across teachers' focal core courses (math/science and English/social studies); scaled 200-600",1,,"Hedges' g = 0.48 taken directly from the report (Results text, p.481/offset 26159): the covariate-adjusted standardized mean difference favoring MTP-S, derived from the HLM impact (Table 2: MTP-S intervention coefficient B = 14.67**, SE = 5.39, p<.01) standardizing by the within-group/residual SOL SD (~30.56 points, implied by b/g = 14.67/0.48). Positive = favors TPD. Small-sample correction J = 1 - 3/(4*df-1) with df = n_t+n_c-2 = 1193 gives J = 0.9994, negligible, so g_reported already = g. g_se = J*(SE_b/s) = 0.9994*(5.39/30.56) = 0.176; g_var = g_se^2 = 0.0311 (back-computed; not paper-stated).",14.67,"Results 'Primary Intervention Effects' p.481 (BioC offset 26159) for g=.48/.31; Table 2 (p.482) MTP-S coefficient B=14.67**, SE=5.39; Table 1 (p.482) sample sizes; Figure 1 (means by group).",subagent,high,"Single pooled student-achievement contrast (one TPD arm vs. business-as-usual). The report's HEADLINE/confirmatory result is the covariate-adjusted Hedges' g = 0.48 (after covarying individual prior-year SOL score [r=.77 with outcome], grade level, family poverty, racial/ethnic minority status); the SIMPLE unadjusted comparison gave Hedges' g = 0.31 (same contrast, no covariates) -- not extracted as a separate row since it is the same contrast; per spec the covariate-adjusted estimate is preferred. Effect was equivalent to moving the typical student from the 50th to the 59th percentile. Content area (English/history/SS vs. math/science) tested as moderator: NO main or moderating effect (p>.50) -> single pooled effect across subjects, hence outcome_subject='Other'. Clustering: design randomized teachers/classrooms (86 clusters); HLM nested students-within-teachers-within-schools, but preliminary 3-level models found no significant school effects (all p>.35) so the school level was dropped; the teacher/class HLM impact estimate accounts for the relevant nesting -> cluster_adjusted=true. ICC not reported as a single design-effect value (left null per spec; never guess). n_t=659, n_c=536 from Table 1 (male+female counts); paper text rounds total to 1,194 (Table 1 sums to 1,195). Tests are Virginia state SOL end-of-course exams (standardized, independent of developers). Conflict-of-interest note: R. Pianta co-owns the MTP dissemination company."
ansari_pianta_2018-01,ansari_pianta_2018,3,ansari_pianta_2018,Ansari & Pianta 2018,Reading,Pre-K,0.06996,0.001598,0.03998,736,671,325,,True,True,standardized_independent,"Peabody Picture Vocabulary Test, 3rd ed. (PPVT-III) - receptive vocabulary (age-standardized score)",1,,"Reported standardized impact coefficient is itself the SMD (all variables standardized to mean 0 / SD 1, per Table 2 note). g = J * d with J=0.999466 (df=N-2=1405). g_se = J * reported SE(d); g_var = g_se^2. Marginally significant (p<0.10).",0.07,"p.107 Table 2 (Main effect model, Receptive language); raw means p.105 Table 1",subagent,medium,"Receptive vocabulary; only outcome with a p<0.10 main effect. Adjusted standardized model coefficient = effect size; classroom-clustered, site FE, pretest covariate. Raw Table 1 means are unadjusted posttest (cross-check)."
ansari_pianta_2018-02,ansari_pianta_2018,3,ansari_pianta_2018,Ansari & Pianta 2018,Reading,Pre-K,-0.01999,0.001598,0.03998,736,671,325,,True,True,standardized_independent,Woodcock-Johnson III Picture Vocabulary subtest - expressive vocabulary (age-standardized score),1,,"Standardized impact coefficient = SMD (Table 2 note). g = J * d, J=0.999466. g_se = J * reported SE(d); g_var = g_se^2. Not significant.",-0.02,"p.107 Table 2 (Main effect model, Expressive language); raw means p.105 Table 1",subagent,medium,"Expressive vocabulary (WJ-III). Negative/near-zero main effect, ns."
ansari_pianta_2018-03,ansari_pianta_2018,3,ansari_pianta_2018,Ansari & Pianta 2018,Reading,Pre-K,0.00999,0.002497,0.04997,736,671,325,,True,True,standardized_independent,Test of Preschool Early Literacy (TOPEL) - phonological awareness (raw score),1,,"Standardized impact coefficient = SMD (Table 2 note). g = J * d, J=0.999466. g_se = J * reported SE(d); g_var = g_se^2. Not significant.",0.01,"p.107 Table 2 (Main effect model, Phonological awareness); raw means p.105 Table 1",subagent,medium,"TOPEL phonological awareness (word elision/blending), raw scores used by authors. ns."
ansari_pianta_2018-04,ansari_pianta_2018,3,ansari_pianta_2018,Ansari & Pianta 2018,Reading,Pre-K,0.05997,0.001598,0.03998,736,671,325,,True,True,standardized_independent,Test of Preschool Early Literacy (TOPEL) - print knowledge (raw score),1,,"Standardized impact coefficient = SMD (Table 2 note). g = J * d, J=0.999466. g_se = J * reported SE(d); g_var = g_se^2. Not significant.",0.06,"p.107 Table 2 (Main effect model, Print knowledge); raw means p.105 Table 1",subagent,medium,"TOPEL print knowledge (alphabet/print conventions), raw scores used by authors. ns."
ansari_pianta_2018-05,ansari_pianta_2018,3,ansari_pianta_2018,Ansari & Pianta 2018,Reading,Pre-K,0.02998,0.001598,0.03998,736,671,325,,True,True,researcher_made,"Average of all child outcomes (composite of receptive vocab, expressive vocab, phonological awareness, print knowledge, inhibitory control; each z-standardized then re-standardized)",0,researcher_made,"Standardized composite impact coefficient = SMD (Table 2 note). g = J * d, J=0.999466. g_se = J * reported SE(d); g_var = g_se^2. Not significant. This is the authors' headline aggregate effect (~3% of an SD).",0.03,"p.107 Table 2 (Main effect model, Average of all child outcomes)",subagent,medium,Authors' overall aggregate impact across the 5 child outcomes. NOTE: this composite is NOT pure achievement - it includes the inhibitory-control (executive-function) measure as a fifth component. Mapped to Reading as the dominant academic content but flagged here; central merge should treat with caution / may prefer the 4 individual language-literacy subscales. The 4 language/literacy subscales above are components of this composite (subscale relationship).
arens_2012-01,arens_2012,4,arens_2012,Arens et al. 2012,Reading,1-5,-0.02999,0.0035979,0.05998,1761,851,52,0.12,True,True,standardized_independent,IDEA Proficiency Test (IPT) basic composite score (listening comprehension + reading/vocabulary comprehension + writing),1,,"Reported standardized HLM impact taken directly: gamma01 = -0.03, SE = 0.06 on z-scored IPT composite (Table 4.1, p.44; Table J2, p.J-2). This equals d because the outcome was already z-standardized; the report's own Glass's Delta = -0.03 (control-SD standardization) confirms d = -0.03. Hedges' g = J*d with J = 1 - 3/(4*df-1), df = n_t+n_c-2 = 2610, J = 0.99971; g = 0.99971*(-0.03) = -0.02999; g_se = J*0.06 = 0.05998; g_var = g_se^2 = 0.0035979.",-0.03,Table 4.1 (p.44) confirmatory impact; Table J2 (p.J-2) full model; ICC from Table I1 (p.I-1); design/sample from Summary pp.xi-xii and Table 2.6/2.7,subagent,high,"Confirmatory (headline) research question outcome: combined OWE+RISE impact on IPT basic composite. Two-level HLM (students nested in schools) adjusting for IPT pretest, percent White, percent Hispanic, block (district) randomization indicators, and student grade; intent-to-treat over 52 schools; multilevel model accounts for clustering so cluster_adjusted=true. ICC = 0.12 (Table I1). mean_t/mean_c are the adjusted IPT posttest means (intervention 0.00 -> reported -0.04 unadjusted; here adjusted means from Table 4.1: 0.00 vs 0.03); SDs (square brackets in Table 4.1) are unadjusted-posttest SDs of the z-scored composite (0.84 intervention, 0.86 control). Not statistically significant (p=.66, 95% CI -0.14 to 0.09). Subscale impacts (Models 6-8, Table 4.2): listening -0.02, reading -0.06, writing -0.03 (all NS); these are sensitivity/subscale analyses of the same composite and are NOT extracted as separate rows (composite is the confirmatory outcome). Sensitivity models (3-10) all NS, range -0.01 to -0.12."
babinski_2018-01,babinski_2018,5,babinski_2018,Babinski et al. 2018,Reading,K-2,0.05,0.01505,0.1227,64,41,45,,True,True,standardized_independent,"Woodcock Muñoz Language Survey-Revised (WMLS-R), English – Picture Vocabulary (W score)",1,,"Authors' reported Hedge's g (Table 5) for the ITT multilevel ANCOVA group difference in change in W scores. g_se derived by scaling the model W-score SE (=CI width/(2*1.96)=2.503) into g units via the paper's g/Mdiff ratio: g_se = 0.05*2.503/1.02 = 0.1227; g_var=g_se^2. Standardized by the SD the authors used to report g (Hill et al. 2008 narrow-focus benchmark metric), not recomputed.",1.02,p.134 Table 5 (Picture Vocabulary row); narrative p.132,subagent,high,"Full randomized analytic sample (n_t=64, n_c=41). ns. mean_t/mean_c are the adjusted means from Table 5 (intervention 453, control 452); SDs are the unadjusted subtest SDs. Picture Vocabulary (vocabulary) -> Reading per spec (reading/literacy)."
babinski_2018-02,babinski_2018,5,babinski_2018,Babinski et al. 2018,Other,K-2,0.23,0.01489,0.122,64,41,45,,True,True,standardized_independent,"Woodcock Muñoz Language Survey-Revised (WMLS-R), English – Verbal Analogies (W score)",1,,Authors' reported Hedge's g (Table 5) for the ITT multilevel ANCOVA group difference in change in W scores. g_se = g*SE_Mdiff/|Mdiff| = 0.23*1.661/3.13 = 0.1220 (SE_Mdiff = (6.39-(-0.12))/(2*1.96)); g_var=g_se^2.,3.13,"p.134 Table 5 (Verbal Analogies row); narrative p.132, 137",subagent,high,"Full sample. Parameter estimate 3.13** (the ** mark in Table 5; p for change difference = .053 per narrative, CI [-0.12, 6.39] almost entirely above zero). Highlighted in abstract/discussion as one of two beneficial effects (g=0.23 matches the Hill et al. 2008 benchmark for narrow-focus measures). Verbal Analogies = reasoning with lexical/verbal knowledge (oral language) -> Other per spec (writing/language/other)."
